Name;RAJ2000;DEJ2000;Type1;Type2;mag1;Orb.Per;SpType2;SpType1;Incl;M1;M2
V1017 Sgr   ;18 32 04.5;-29 23 12;Nb;DN;13.7; 5.714000;G5/3p  ;       ;    ;      ;
MR Vel      ;09 25 45.9;-47 58 18;SS;  ;17.0; 4.028782;       ;       ;55.0;      ;
V630 Cas    ;23 48 51.9;+51 27 39;DN;  ;16.2; 2.563870;K4-5   ;       ;72.5; 1.010; 0.180
EQ CMa      ;06 48 51.6;-16 18 03;CV;  ;11.9; 2.291500;       ;       ;    ;      ;
GK Per      ;03 31 12.0;+43 54 16;Na;DN;12.8; 1.996803;K1/4   ;       ;73.0; 0.870; 0.480
HV Cet      ;03 05 58.5;+05 47 14;N ;  ;18.5; 1.772000;       ;       ;    ;      ;
J2044-0459  ;20 44 48.9;-04 59 29;DN;UG;16.7; 1.680000;K4-5   ;       ;    ;      ;
V5589 Sgr   ;17 45 28.0;-23 05 23;Na;  ;17.0; 1.592300;       ;       ;    ;      ;
V394 CrA    ;18 00 26.0;-39 00 35;Nr;  ;17.8; 1.515682;       ;       ;    ;      ;
X Ser       ;16 19 17.7;-02 29 30;Nb;  ;17.6; 1.480000;       ;       ;    ;      ;
V2674 Oph   ;17 26 32.1;-28 49 39;Na;  ;21.5; 1.302100;       ;       ;    ;      ;
J1805-3154  ;18 05 25.4;-31 54 05;Na;  ;18.8; 1.266400;       ;       ;    ;      ;
J0509-7139  ;05 09 58.4;-71 39 53;Nr;EG;19.0; 1.264300;       ;       ;    ;      ;
U Sco       ;16 22 30.8;-17 52 44;Nr;  ;18.5; 1.230547;K2/4   ;       ;82.7; 1.550; 0.880
N LMC 2009a ;05 40 44.2;-66 40 12;Nr;  ;    ; 1.190000;       ;       ;    ;      ;
AKO 9       ;00 24 04.8;-72 04 55;DN;  ;17.3; 1.109099;       ;       ;    ;      ; 0.900
CAL 83      ;05 43 34.2;-68 22 22;SS;  ;16.2; 1.047529;       ;       ;    ; 1.300;
CP Cru      ;12 10 31.4;-61 45 10;Na;  ;19.5; 0.944000;       ;       ;    ;      ;
V1129 Cen   ;12 39 07.9;-45 33 44;DN;  ; 9.5; 0.893025;F2/5   ;       ;    ;      ;
V1082 Sgr   ;19 07 21.9;-20 46 50;NL;VY;14.0; 0.867520;K4/5   ;       ;    ;      ;
J0032-7420  ;00 32 55.1;-74 20 20;N ;EG;21.3; 0.850000;       ;       ;    ;      ;
J2124+0502  ;21 24 12.4;+05 02 44;NL;  ;12.3; 0.849100;       ;       ;    ;      ;
J1714+5851  ;17 14 56.8;+58 51 28;DN;  ;15.0; 0.838030;K4     ;       ;    ;      ;
V726 Sgr    ;18 19 33.7;-26 53 20;Na;  ;19.4; 0.822812;       ;       ;    ;      ;
J0454-7026  ;04 54 56.9;-70 26 56;Na;  ;18.4; 0.801460;       ;       ;60.0;      ;
V731 Cas    ;23 57 00.3;+56 45 08;NL;  ;19.1; 0.780600;       ;       ;    ;      ;
J0513-6951  ;05 13 50.8;-69 51 48;SS;  ;16.0; 0.762956;       ;       ;    ;      ;
J1414-6516  ;14 14 30.1;-65 16 23;NL;IP;22.5; 0.743000;       ;       ;    ;      ;
V364 Lib    ;15 09 46.6;-21 47 46;DN;  ;11.5; 0.702420;       ;       ;    ;      ;
V723 Cas    ;01 05 05.4;+54 00 41;Nb;  ;18.8; 0.693266;       ;       ;    ;      ;
V368 Aql    ;19 26 34.4;+07 36 14;Na;  ;16.2; 0.690509;       ;       ;    ;      ;
QR And      ;00 19 49.8;+21 56 53;SS;IP;12.2; 0.660465;       ;       ;    ;      ;
V445 Pup    ;07 37 56.9;-25 56 59;N ;  ;14.6; 0.650650;       ;       ;    ;      ;
V2731 Oph   ;17 30 21.9;-05 59 32;NL;IP;16.3; 0.642500;G0-4/5 ;       ;    ;      ;
V478 Her    ;17 21 05.6;+23 39 40;DN;  ;17.5; 0.629049;K3-7/5 ;       ;    ;      ;
CI Aql      ;18 52 03.6;-01 28 39;Nr;  ;17.0; 0.618360;F8/4   ;       ;69.0; 1.000; 2.320
BV Cen      ;13 31 19.6;-54 58 34;DN;UG;12.6; 0.611179;G8/5   ;       ;53.0; 1.240; 1.100
J1930+0530  ;19 30 50.8;+05 30 58;CV;  ;11.0; 0.610920;F4-6/5 ;       ;50.0; 0.800; 1.400
V841 Oph    ;16 59 30.3;-12 53 27;Nb;  ;13.2; 0.601304;K1-5   ;       ;    ;      ;
V479 And    ;00 18 56.9;+34 54 44;NL;AM;17.5; 0.594093;G8-K0/4;       ;17.0;      ;
DI Lac      ;22 35 48.6;+52 43 00;Na;  ;14.2; 0.543773;       ;       ;    ;      ;
V Sge       ;20 20 14.8;+21 06 09;SS;  ; 9.5; 0.514197;       ;WN5   :;71.0; 0.880; 3.320
V2690 Cyg   ;19 51 47.5;+37 16 48;NL;  ;15.5; 0.492000;M0/5   ;       ;    ;      ;
UY Pup      ;07 46 31.2;-12 57 09;DN;UG;15.3; 0.479269;K2-6/5 ;       ;    ;      ;
NGC 6397-CV1;17 40 41.6;-53 40 19;  ;  ;17.5; 0.471199;       ;       ;    ;      ;
V442 Cen    ;11 24 51.9;-35 54 38;DN;UG;16.5; 0.460000;G4-8/5 ;       ;    ;      ;
EY Cyg      ;19 54 36.8;+32 21 55;DN;UG;14.5; 0.459324;K0/5   ;       ;14.0; 1.100; 0.490
QU Car      ;11 05 42.8;-68 37 58;NL;  ;11.1; 0.450000;       ;       ;60.0;      ;
CAL 87      ;05 46 48.3;-71 09 24;SS;  ;18.9; 0.442678;       ;       ;    ;      ;
DX And      ;23 29 46.7;+43 45 04;DN;UG;14.0; 0.440502;K0/5   ;       ;45.0;      ; 0.800
J1755-2816  ;17 55 53.3;-28 16 34;CV;  ;15.0; 0.431035;       ;       ;    ;      ;
